Mando'a,Pronunciation,English
a; a'; al,Ah,but (often al before a vowel)
aalar,AH-lar,feel
aaray,AH-ray,pain
aay'han,AY-ye-haan,bittersweet perfect moment of mourning and joy - *remembering and celebrating*
abesh,AH-besh,east
abiik,AH-beek,air
acyk,AH-seek,between
ad,ahd,daughter
ad,ahd,son
adade,ah-DAH-day,personnel
adate,ah-DAH-tay,people; persons
ade,AH-day,children; sons; daughters
a'den,AH-den,wrath; rage
adenn,ah-DEN,merciless
ad'eta,ahd-AY-tah,twenty
adiik,AH-deek,child aged 3 to 13
ad'ika (pl. adike; not adi'kase),ah-DEE-kah,little one; son; daughter; of any age - also used informally to adults much like *lads* or *guys*; 
adol,AH-dohl,through
agol,AH-gohl,living tissue - meat; muscle; flesh - animal or human; *flesh and blood*
aikiyc,ai-KEESH,desperate
aka,AH-kah,mission
akaan,ah-KAHN,war
akaan'ade,AH-kahn-AH-day,army
akaanir,ah-KAH-neer,fight
akaata,ah-KAH-ta,battalion
akalenedat,ah-KAH-leh-NAY-dat,hard contact
akay; 'kay,ah-KAY,until; 'til
alii'gai,ah-LEE-gai,flag; colors
aliik,ah-LEEK,sigil; symbol on armor
aliit,ah-LEET,clan name; identity
aliit (clan),ah-LEET,family
Aliit ori'shya tal'din,Ah-LEET-or-EESH-yah-tal-DEEN,Family is more than blood. (Saying.)
Alor,ah-LOR,Chancellor
alor,ah-LOR,leader; chief; *officer*; constable; boss 
alor'ad,al-OHR-ahd,captain
alorir,ah-LOR-eer,lead
aloriya,alor-EE-yah,capital (lit. head city)
alor'uus,AH-lor-OOS,corporal
al'verde,AHL-vair-day,commander
am,ahm,change
an,ahn,all
anade,ah-NAH-day,everyone; everybody
anay,AH-nay,every
ani,AH-nee,total; complete
aran,AH-ran,guard
aranar,ah-RAH-nar,defend
araniik,ah-RAHN-eek,cordon
aranov,AH-rah-nov,defense
ara'novor,ah-RAH-nov,approach; stand in the way off; block
ara'novor,AH-rah-NO-vor,obstruct; defend; blockade
arasuum,ah-RAH-soom,stagnation; 
arasuumir,ah-rah-soo-MEER,stagnate; remain the same
arasuum'la,ah-ra-SOOM-lah,unchanging; stagnant
arpat,AR-pat,seed
aru'e,ah-ROO-ay,enemy (noun)
aru'ela,AH-roo-AY-la,hostile; enemy (adj)
aruetii,ah-roo-AY-tee,traitor; foreigner; outsider
aruetiise,ah-roo-ay-TEE-say,traitors; foreigners; outsiders
aruetyc,AH-roo-eh-TEESH,traitorous
as...as,sah,as; like (comparative)
ash'ad,AH-shad,someone else
ash'amur,keer-AH-moor,die (esp. violently in battle)
ashi,AH-shee,other
Ashnar...,AHSH-nar,Someone has (done) - can be followed by a noun or a verb
ast,ast,itself
ast'ehut,ast-teh-HUUT,fat
at,aht,to (direction; movement)
at,aht,towards; at (motion); to
